date,ticker,sentiment,risk,action,action_value,price,portfolio_value
2024-01-12,INFY,1.0,0.5,HOLD,-0.034222625,1518.3797607421875,1008612.9878690491
2024-01-15,KOTAKBANK,0.0,0.5,BUY,0.12284193,369.4685974121094,1006464.4273679504
2024-01-15,SBIN,0.0,0.5,BUY,0.121708564,617.150634765625,1006464.4273679504
2024-01-15,EICHERMOT,0.0,0.5,BUY,0.118177876,3741.590087890625,1006464.4273679504
2024-01-15,TATASTEEL,0.0,0.5,SELL,-0.050314642,129.2222137451172,1006464.4273679504
2024-01-15,BAJAJ-AUTO,-0.5,0.5,HOLD,-0.04195032,7064.052734375,1006464.4273679504
2024-01-15,DIVISLAB,-0.25,0.5,HOLD,-0.026354231,3868.1376953125,1006464.4273679504
2024-01-16,BHARTIARTL,0.0,0.5,BUY,0.12257226,1080.7913818359375,994706.0082547913
2024-01-16,KOTAKBANK,0.0,0.5,BUY,0.118139826,368.7702026367187,994706.0082547913
2024-01-16,EICHERMOT,-0.25,0.5,BUY,0.11632243,3702.730224609375,994706.0082547913
2024-01-16,TATASTEEL,0.0,0.5,SELL,-0.05743301,131.47329711914062,994706.0082547913
2024-01-16,BAJAJ-AUTO,0.0,0.5,HOLD,-0.038699917,7056.3134765625,994706.0082547913
2024-01-16,SUNPHARMA,0.0,0.5,HOLD,-0.03738869,1281.50732421875,994706.0082547913
2024-01-17,BAJAJFINSV,0.0,0.5,BUY,0.13060519,1584.3779296875,987641.2748716125
2024-01-17,KOTAKBANK,0.0,0.5,BUY,0.12112036,355.1308898925781,987641.2748716125
2024-01-17,SBIN,0.0,0.5416666666666666,BUY,0.1105818,603.55615234375,987641.2748716125
2024-01-17,TATASTEEL,0.0,0.5,SELL,-0.051580504,126.10899353027344,987641.2748716125
2024-01-17,BAJAJ-AUTO,0.0,0.5,HOLD,-0.049805664,6932.4833984375,987641.2748716125
2024-01-17,HDFCLIFE,0.0,0.5,HOLD,-0.032803908,602.877685546875,987641.2748716125
2024-01-18,BHARTIARTL,0.0,0.5,BUY,0.12523676,1072.0634765625,997257.943988861
2024-01-18,KOTAKBANK,1.0,0.5,BUY,0.11603408,354.6519775390625,997257.943988861
2024-01-18,COALINDIA,0.5,0.625,BUY,0.108463615,326.5158386230469,997257.943988861
2024-01-18,BAJAJ-AUTO,0.0,0.5,SELL,-0.054840468,6852.81640625,997257.943988861
2024-01-18,DIVISLAB,0.0,0.5,HOLD,-0.029952675,3660.958251953125,997257.943988861
2024-01-18,TATASTEEL,0.0,0.5,HOLD,-0.02940707,125.48636627197266,997257.943988861
2024-01-19,TITAN,0.0,0.5,BUY,0.11061493,3786.77587890625,978381.2752876892
2024-01-19,BHARTIARTL,0.0,0.25,BUY,0.10937549,1109.4901123046875,978381.2752876892
